Name	Description	Source	Format	Template	Tag	Length
Account Type 	Indicates the type of account selected on the terminal, coded as specified in Annex G 	Terminal 	n 2 	— 	5F57	1
Acquirer Identifier	Uniquely identifies the acquirer within each payment system 	Terminal 	n 6-11 	— 	9F01	6
Additional Terminal Capabilities 	Indicates the data input and output capabilities of the terminal 	Terminal 	b 	— 	9F40	5
Amount, Authorised Binary	Authorised amount of the transaction (excluding adjustments) 	Terminal 	b 	— 	81	4
Amount, Authorised (Numeric)	Authorised amount of the transaction (excluding adjustments)	Terminal	n 12	—	9F02	6
Amount, Other Binary	Secondary amount associated with the transaction representing a cashback amount	Terminal	b	—	9F04	4
Amount, Other (Numeric)	Secondary amount associated with the transaction representing a cashback amount	Terminal	n 12	—	9F03	6
Amount, Reference Currency	Authorised amount expressed in the reference currency	Terminal	b	—	9F3A	4
Application Cryptogram	Cryptogram returned by the ICC in response of the GENERATE AC command	ICC	b	77 or 80	9F26	8
Application Currency Code	Indicates the currency in which the account is managed according to ISO 4217	ICC	n 3	70 or 77	9F42	2
Application Currency Exponent	Indicates the implied position of the decimal point from the right of the amount represented according to ISO 4217	ICC	n 1	70 or 77	9F44	1
Application Discretionary Data	Issuer or payment system specified data relating to the application	ICC	b	70 or 77	9F05	1-32
Application Expiration Date	Date after which application expires	ICC	n 6 YYMMDD	70 or 77	5F24	3
Application File Locator (AFL)	Indicates the location (SFI, range of records) of the AEFs related to a given application	ICC	var.	77 or 80	94	var. up to 252
Application Dedicated File (ADF) Name	Identifies the application as described in ISO/IEC 7816-5	ICC	b	61	4F	5-16
Application Identifier (AID) - terminal	Identifies the application as described in ISO/IEC 7816-5	Terminal	b	—	9F06	5-16
Application Interchange Profile	Indicates the capabilities of the card to support specific functions in the application	ICC	b	77 or 80	82	2
Application Label	Mnemonic associated with the AID according to ISO/IEC 7816-5	ICC	ans with the special character limited to space	61 or A5	50	1-16
Application Preferred Name	Preferred mnemonic associated with the AID	ICC	ans (see section 4.3)	61 or A5	9F12	1-16
Application Primary Account Number (PAN)	Valid cardholder account number	ICC	cn  var. up to 19	70 or 77	5A	var. up to 10
Application Primary Account Number (PAN) Sequence Number	Identifies and differentiates cards with the same PAN	ICC	n 2	70 or 77	5F34	1
Application Priority Indicator	Indicates the priority of a given application or group of applications in a directory	ICC	b	61 or A5	87	1
Application Reference Currency	1-4 currency codes used between the terminal and the ICC when the Transaction Currency Code is different from the Application Currency Code; each code is 3 digits according to ISO 4217	ICC	n 3	70 or 77	9F3B	2-8
Application Reference Currency Exponent	Indicates the implied position of the decimal point from the right of the amount, for each of the 1-4 reference currencies represented according to ISO 4217	ICC	n 1	70 or 77	9F43	1-4
Application Selection Indicator	For an application in the ICC to be supported by an application in the terminal, the Application Selection Indicator indicates whether the associated AID in the terminal must match the AID in the card exactly, including the length of the AID, or only up to the length of the AID in the terminal There is only one Application Selection Indicator per AID supported by the terminal 	Terminal 	At the discretion of the terminal. The data is not sent across the interface 	— 	— 	
Application Template 	Contains one or more data objects relevant to an application directory entry according to ISO/IEC 7816-5 	ICC 	b 	70 	61	var. up to 252 
Application Transaction Counter (ATC) 	Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC)  	ICC 	b 	77 or 80 	9F36	2
Application Usage Control 	Indicates issuer’s specified restrictions on the geographic usage and services allowed for the application 	ICC 	b 	70 or 77 	9F07	2
Application Version Number ICC	Version number assigned by the payment system for the application 	ICC 	b 	70 or 77 	9F08	2
Application Version Number Terminal	Version number assigned by the payment system for the application 	Terminal 	b 	— 	9F09	2
Authorisation Code	Value generated by the authorisation authority for an approved transaction	Issuer	As defined by the Payment Systems	—	89	6
Authorisation Response Code	Code that defines the disposition of a message	Issuer/ Terminal	an 2	—	8A	2
Authorisation Response Cryptogram (ARPC)	Cryptogram generated by the issuer and used by the card to verify that the response came from the issuer.	Issuer	b	—	—	4 or 8
Bank Identifier Code (BIC)	Uniquely identifies a bank as defined in ISO 9362.	ICC	var.	BF0C or 73	5F54	8 or 11
Card Risk Management Data Object List 1 (CDOL1)	List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command	ICC	b	70 or 77	8C	var. up to 252
Card Risk Management Data Object List 2 (CDOL2)	List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command	ICC	b	70 or 77	8D	var. up to 252
Card Status Update (CSU)	Contains data sent to the ICC to indicate whether the issuer approves or declines the transaction, and to initiate actions specified by the issuer. Transmitted to the card in Issuer Authentication Data.	Issuer	b	—	—	4
Cardholder Name	Indicates cardholder name according to ISO 7813	ICC	ans 2-26	70 or 77	5F20	2-26
Cardholder Name Extended	Indicates the whole cardholder name when greater than 26 characters using the same coding convention as in ISO 7813	ICC	ans 27-45	70 or 77	9F0B	27-45
Cardholder Verification Method (CVM) List	Identifies a method of verification of the cardholder supported by the application	ICC	b	70 or 77	8E	10-252
Cardholder Verification Method (CVM) Results	Indicates the results of the last CVM performed	Terminal	b	—	9F34	3
Certification Authority Public Key Check Sum	A check value calculated on the concatenation of all parts of the Certification Authority Public Key (RID, Certification Authority Public Key Index, Certification Authority Public Key Modulus, Certification Authority Public Key Exponent) using SHA-1	Terminal	b	—	—	20
Certification Authority Public Key Exponent	Value of the exponent part of the Certification Authority Public Key	Terminal	b	—	—	1 or 3
Certification Authority Public Key Index	Identifies the certification authority’s public key in conjunction with the RID	ICC	b	70 or 77	8F	1
Certification Authority Public Key Index	Identifies the certification authority’s public key in conjunction with the RID	Terminal	b	—	9F22	1
Certification Authority Public Key Modulus	Value of the modulus part of the Certification Authority Public Key	Terminal	b	—	—	NCA (up to 248)
Command Template	Identifies the data field of a command message	Terminal	b	—	83	var.
Cryptogram Information Data	Indicates the type of cryptogram and the actions to be performed by the terminal	ICC	b	77 or 80	9F27	1
Data Authentication Code	An issuer assigned value that is retained by the terminal during the verification process of the Signed Static Application Data	ICC	b	—	9F45	2
Dedicated File (DF) Name	Identifies the name of the DF as described in ISO/IEC 7816-4	ICC	b	6F	84	5-16
Default Dynamic Data Authentication Data Object List (DDOL)	DDOL to be used for constructing the INTERNAL AUTHENTICATE command if the DDOL in the card is not present	Terminal	b	—	—	var.
Default Transaction Certificate Data Object List (TDOL)	TDOL to be used for generating the TC Hash Value if the TDOL in the card is not present	Terminal	b	—	—	var.
Directory Definition File (DDF) Name	Identifies the name of a DF associated with a directory	ICC	b	61	9D	5-16
Directory Discretionary Template	Issuer discretionary part of the directory according to ISO/IEC 7816-5	ICC	var.	61	73	var. up to 252
Dynamic Data Authentication Data Object List (DDOL)	List of data objects (tag and length) to be passed to the ICC in the INTERNAL AUTHENTICATE command	ICC	b	70 or 77	9F49	up to 252
Enciphered Personal Identification Number (PIN) Data	Transaction PIN enciphered at the PIN pad for online verification or for offline verification if the PIN pad and IFD are not a single integrated device	Terminal	b	—	—	8
File Control Information (FCI) Issuer Discretionary Data	Issuer discretionary part of the FCI	ICC	var.	A5	BF0C	var. up to 222
File Control Information (FCI) Proprietary Template	Identifies the data object proprietary to this specification in the FCI template according to ISO/IEC 7816-4	ICC	var.	6F	A5	var.
File Control Information (FCI) Template	Identifies the FCI template according to ISO/IEC 7816-4	ICC	var.	—	6F	var. up to 252
ICC Dynamic Number	Time-variant number generated by the ICC, to be captured by the terminal	ICC	b	—	9F4C	2-8
Integrated Circuit Card (ICC) PIN Encipherment Public Key Certificate	ICC PIN Encipherment Public Key certified by the issuer	ICC	b	70 or 77	9F2D	NI
Integrated Circuit Card (ICC) PIN Encipherment Public Key Exponent	ICC PIN Encipherment Public Key Exponent used for PIN encipherment	ICC	b	70 or 77	9F2E	1 or 3
Integrated Circuit Card (ICC) PIN Encipherment Public Key Remainder	Remaining digits of the ICC PIN Encipherment Public Key Modulus	ICC	b	70 or 77	9F2F	NPE − NI + 42
Integrated Circuit Card (ICC) Public Key Certificate	ICC Public Key certified by the issuer	ICC	b	70 or 77	9F46	NI
Integrated Circuit Card (ICC) Public Key Exponent	ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data	ICC	b	70 or 77	9F47	1 to 3
Integrated Circuit Card (ICC) Public Key Remainder	Remaining digits of the ICC Public Key Modulus	ICC	b	70 or 77	9F48	NIC − NI + 42
Interface Device (IFD) Serial Number	Unique and permanent serial number assigned to the IFD by the manufacturer	Terminal	an 8	—	9F1E	8
International Bank Account Number (IBAN)	Uniquely identifies the account of a customer at a financial institution as defined in ISO 13616.	ICC	var.	BF0C or 73	5F53	Var. up to 34
Issuer Action Code - Default	Specifies the issuer’s conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online	ICC	b	70 or 77	9F0D	5
Issuer Action Code - Denial	Specifies the issuer’s conditions that cause the denial of a transaction without attempt to go online	ICC	b	70 or 77	9F0E	5
Issuer Action Code - Online	Specifies the issuer’s conditions that cause a transaction to be transmitted online	ICC	b	70 or 77	9F0F	5
Issuer Application Data	Contains proprietary application data for transmission to the issuer in an online transaction. Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application	ICC	b	77 or 80	9F10	var. up to 32
Issuer Authentication Data	Data sent to the ICC for online issuer authentication	Issuer	b	—	91	8-16
Issuer Code Table Index	Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name	ICC	n 2	A5	9F11	1
Issuer Country Code	Indicates the country of the issuer according to ISO 3166	ICC	n 3	70 or 77	5F28	2
Issuer Country Code (alpha2 format)	Indicates the country of the issuer as defined in ISO 3166 (using a 2 character alphabetic code)	ICC	a 2	BF0C or 73	5F55	2
Issuer Country Code (alpha3 format)	Indicates the country of the issuer as defined in ISO 3166 (using a 3 character alphabetic code)	ICC	a 3	BF0C or 73	5F56	3
Issuer Identification Number (IIN)	The number that identifies the major industry and the card issuer and that forms the first part of the Primary Account Number (PAN)	ICC	n 6	BF0C or 73	42	3
